"node_id","lat","lon","timestamp","value_hrf"
"001e061183f5","41.692703","-87.62102","2019/10/05 16:01:05","66.26"
"001e0610ba46","41.878377","-87.627678","2019/10/05 16:01:06","56.72"
"001e0610f6db","41.791329","-87.598677","2019/10/05 16:01:07","56.72"
"001e06113a24","41.788979","-87.597995","2019/10/05 16:01:09","62.74"
"001e0610ba15","41.722457","-87.57535","2019/10/05 16:01:10","56.72"
"001e0610f732","41.895005","-87.745817","2019/10/05 16:01:10","56.72"
"001e061130f4","41.896157","-87.662391","2019/10/05 16:01:10","62.74"
"001e06118295","41.820972","-87.802435","2019/10/05 16:01:10","56.72"
"001e0611441e","41.808594","-87.665048","2019/10/05 16:01:11","55.0"
"001e0610e538","41.736593","-87.604759","2019/10/05 16:01:12","56.72"
"001e061144be","41.792543","-87.600008","2019/10/05 16:01:13","56.72"
"001e0610f05c","41.924903","-87.687703","2019/10/05 16:01:14","56.72"
"001e0610bbe5","41.736495","-87.614529","2019/10/05 16:01:15","56.72"
"001e0610ee36","41.751295","-87.605288","2019/10/05 16:01:19","56.72"
"001e06113d20","41.8920031","-87.6116431","2019/10/05 16:01:20","56.72"
"001e0610bc10","41.736314","-87.624179","2019/10/05 16:01:21","95.71"
"001e06113ad8","41.866786","-87.666306","2019/10/05 16:01:21","56.72"
"001e0610ee43","41.788608","-87.598713","2019/10/05 16:01:22","56.72"
"001e06112e77","41.786756","-87.664343","2019/10/05 16:01:25","56.72"
"001e061146cb","41.9140942","-87.683022","2019/10/05 16:01:25","56.72"
"001e06113acb","41.839066","-87.665685","2019/10/05 16:01:27","56.72"
"001e06113ace","41.83107","-87.617298","2019/10/05 16:01:27","56.72"
"001e0611462f","41.823527","-87.641054","2019/10/05 16:01:27","56.72"
"001e0610f703","41.87148","-87.67644","2019/10/05 16:01:28","56.72"
"001e061146ba","41.96759","-87.76257","2019/10/05 16:01:29","56.72"
"001e0610ba13","41.751238","-87.71299","2019/10/05 16:01:30","55.0"
"001e06113107","41.751142","-87.71299","2019/10/05 16:01:30","56.72"
"001e061144cd","41.8742","-87.666599","2019/10/05 16:01:30","56.72"
"001e06117b44","41.721301","-87.66263000000002","2019/10/05 16:01:30","68.76"
"001e061183f5","41.692703","-87.62102","2019/10/05 16:01:30","56.72"
"001e0610ba46","41.878377","-87.627678","2019/10/05 16:01:31","62.74"
"001e0610f6db","41.791329","-87.598677","2019/10/05 16:01:32","56.72"
"001e06113a24","41.788979","-87.597995","2019/10/05 16:01:34","56.72"
"001e0610ba15","41.722457","-87.57535","2019/10/05 16:01:35","56.72"
"001e0610f732","41.895005","-87.745817","2019/10/05 16:01:35","56.72"
"001e06118295","41.820972","-87.802435","2019/10/05 16:01:35","62.74"
"001e061130f4","41.896157","-87.662391","2019/10/05 16:01:36","56.72"
"001e0611441e","41.808594","-87.665048","2019/10/05 16:01:36","56.72"
"001e0610e538","41.736593","-87.604759","2019/10/05 16:01:38","62.74"
"001e061144be","41.792543","-87.600008","2019/10/05 16:01:38","56.72"
"001e0610bbe5","41.736495","-87.614529","2019/10/05 16:01:41","55.0"
"001e0610ee36","41.751295","-87.605288","2019/10/05 16:01:44","56.72"
"001e0610f05c","41.924903","-87.687703","2019/10/05 16:01:44","55.0"
"001e06113d20","41.8920031","-87.6116431","2019/10/05 16:01:45","55.0"
"001e0610bc10","41.736314","-87.624179","2019/10/05 16:01:46","95.71"
"001e06113ad8","41.866786","-87.666306","2019/10/05 16:01:46","56.72"
"001e0610ee43","41.788608","-87.598713","2019/10/05 16:01:47","56.72"
"001e06112e77","41.786756","-87.664343","2019/10/05 16:01:50","56.72"
"001e061146cb","41.9140942","-87.683022","2019/10/05 16:01:50","56.72"
"001e06113ace","41.83107","-87.617298","2019/10/05 16:01:52","55.0"
"001e0610f703","41.87148","-87.67644","2019/10/05 16:01:53","56.72"
"001e0611462f","41.823527","-87.641054","2019/10/05 16:01:53","56.72"
"001e06113acb","41.839066","-87.665685","2019/10/05 16:01:54","56.72"
"001e0610ba13","41.751238","-87.71299","2019/10/05 16:01:55","56.72"
"001e061144cd","41.8742","-87.666599","2019/10/05 16:01:55","56.72"
"001e06117b44","41.721301","-87.66263000000002","2019/10/05 16:01:55","56.72"
"001e061183f5","41.692703","-87.62102","2019/10/05 16:01:55","62.74"
"001e0610ba46","41.878377","-87.627678","2019/10/05 16:01:56","62.74"
"001e06113107","41.751142","-87.71299","2019/10/05 16:01:56","55.0"
"001e061146ba","41.96759","-87.76257","2019/10/05 16:01:56","56.72"
"001e0610f6db","41.791329","-87.598677","2019/10/05 16:01:57","56.72"
"001e0610f732","41.895005","-87.745817","2019/10/05 16:02:00","55.0"
"001e06113a24","41.788979","-87.597995","2019/10/05 16:02:00","56.72"
"001e06118295","41.820972","-87.802435","2019/10/05 16:02:00","56.72"
"001e0610ba15","41.722457","-87.57535","2019/10/05 16:02:01","56.72"
"001e0611441e","41.808594","-87.665048","2019/10/05 16:02:01","56.72"
"001e061130f4","41.896157","-87.662391","2019/10/05 16:02:02","56.72"
"001e0610e538","41.736593","-87.604759","2019/10/05 16:02:03","56.72"
"001e061144be","41.792543","-87.600008","2019/10/05 16:02:03","55.0"
"001e0610bbe5","41.736495","-87.614529","2019/10/05 16:02:06","56.72"
"001e0610ee36","41.751295","-87.605288","2019/10/05 16:02:09","56.72"
"001e0610f05c","41.924903","-87.687703","2019/10/05 16:02:09","56.72"
"001e06113d20","41.8920031","-87.6116431","2019/10/05 16:02:10","56.72"
"001e0610bc10","41.736314","-87.624179","2019/10/05 16:02:11","95.61"
"001e0610ee43","41.788608","-87.598713","2019/10/05 16:02:12","56.72"
"001e06113ad8","41.866786","-87.666306","2019/10/05 16:02:12","56.72"
"001e06112e77","41.786756","-87.664343","2019/10/05 16:02:15","56.72"
"001e061146cb","41.9140942","-87.683022","2019/10/05 16:02:15","56.72"
"001e06113ace","41.83107","-87.617298","2019/10/05 16:02:17","56.72"
"001e0610f703","41.87148","-87.67644","2019/10/05 16:02:18","62.74"
"001e0611462f","41.823527","-87.641054","2019/10/05 16:02:18","56.72"
"001e06113acb","41.839066","-87.665685","2019/10/05 16:02:19","56.72"
"001e06117b44","41.721301","-87.66263000000002","2019/10/05 16:02:19","62.74"
"001e061144cd","41.8742","-87.666599","2019/10/05 16:02:20","56.72"
"001e061146ba","41.96759","-87.76257","2019/10/05 16:02:20","56.72"
"001e0610ba46","41.878377","-87.627678","2019/10/05 16:02:21","62.74"
"001e06113107","41.751142","-87.71299","2019/10/05 16:02:21","55.0"
"001e061183f5","41.692703","-87.62102","2019/10/05 16:02:21","62.74"
"001e0610ba13","41.751238","-87.71299","2019/10/05 16:02:24","55.0"
"001e0610f732","41.895005","-87.745817","2019/10/05 16:02:25","56.72"
"001e06113a24","41.788979","-87.597995","2019/10/05 16:02:25","56.72"
"001e0610ba15","41.722457","-87.57535","2019/10/05 16:02:26","56.72"
"001e0610f6db","41.791329","-87.598677","2019/10/05 16:02:26","56.72"
"001e0611441e","41.808594","-87.665048","2019/10/05 16:02:26","55.0"
"001e061130f4","41.896157","-87.662391","2019/10/05 16:02:27","56.72"
"001e06118295","41.820972","-87.802435","2019/10/05 16:02:27","62.74"
"001e061144be","41.792543","-87.600008","2019/10/05 16:02:28","55.0"
"001e0610e538","41.736593","-87.604759","2019/10/05 16:02:29","56.72"
"001e0610bbe5","41.736495","-87.614529","2019/10/05 16:02:32","56.72"
"001e0610ee36","41.751295","-87.605288","2019/10/05 16:02:34","55.0"
"001e0610f05c","41.924903","-87.687703","2019/10/05 16:02:34","56.72"
"001e0610bc10","41.736314","-87.624179","2019/10/05 16:02:36","95.71"
"001e06113d20","41.8920031","-87.6116431","2019/10/05 16:02:36","56.72"
"001e0610ee43","41.788608","-87.598713","2019/10/05 16:02:37","55.0"
"001e06113ad8","41.866786","-87.666306","2019/10/05 16:02:38","56.72"
"001e06112e77","41.786756","-87.664343","2019/10/05 16:02:40","56.72"
"001e061146cb","41.9140942","-87.683022","2019/10/05 16:02:40","55.0"
"001e06113ace","41.83107","-87.617298","2019/10/05 16:02:42","56.72"
"001e0610f703","41.87148","-87.67644","2019/10/05 16:02:43","62.74"
"001e06113acb","41.839066","-87.665685","2019/10/05 16:02:44","62.74"
"001e0611462f","41.823527","-87.641054","2019/10/05 16:02:44","56.72"
"001e06117b44","41.721301","-87.66263000000002","2019/10/05 16:02:44","62.74"
"001e061146ba","41.96759","-87.76257","2019/10/05 16:02:45","56.72"
"001e0610ba46","41.878377","-87.627678","2019/10/05 16:02:46","62.74"
"001e06113107","41.751142","-87.71299","2019/10/05 16:02:46","56.72"
"001e061183f5","41.692703","-87.62102","2019/10/05 16:02:46","62.74"
"001e061144cd","41.8742","-87.666599","2019/10/05 16:02:49","55.0"
"001e0610ba13","41.751238","-87.71299","2019/10/05 16:02:50","56.72"
"001e0610f732","41.895005","-87.745817","2019/10/05 16:02:50","55.0"
"001e06113a24","41.788979","-87.597995","2019/10/05 16:02:50","56.72"
"001e06118295","41.820972","-87.802435","2019/10/05 16:02:50","62.74"
"001e0610ba15","41.722457","-87.57535","2019/10/05 16:02:51","56.72"
"001e0610f6db","41.791329","-87.598677","2019/10/05 16:02:51","55.0"
"001e0611441e","41.808594","-87.665048","2019/10/05 16:02:51","55.0"
"001e061130f4","41.896157","-87.662391","2019/10/05 16:02:53","56.72"
"001e061144be","41.792543","-87.600008","2019/10/05 16:02:53","56.72"
"001e0610e538","41.736593","-87.604759","2019/10/05 16:02:54","55.0"
"001e0610bbe5","41.736495","-87.614529","2019/10/05 16:02:58","56.72"
"001e0610ee36","41.751295","-87.605288","2019/10/05 16:02:59","56.72"
"001e0610f05c","41.924903","-87.687703","2019/10/05 16:02:59","56.72"
"001e06113d20","41.8920031","-87.6116431","2019/10/05 16:03:01","56.72"
"001e0610ee43","41.788608","-87.598713","2019/10/05 16:03:02","56.72"
"001e06113ad8","41.866786","-87.666306","2019/10/05 16:03:03","62.74"
"001e0610bc10","41.736314","-87.624179","2019/10/05 16:03:05","95.61"
"001e06112e77","41.786756","-87.664343","2019/10/05 16:03:05","56.72"
"001e061146cb","41.9140942","-87.683022","2019/10/05 16:03:05","55.0"
"001e0610f703","41.87148","-87.67644","2019/10/05 16:03:08","56.72"
"001e06113acb","41.839066","-87.665685","2019/10/05 16:03:08","56.72"
"001e06113ace","41.83107","-87.617298","2019/10/05 16:03:08","56.72"
"001e0611462f","41.823527","-87.641054","2019/10/05 16:03:09","56.72"
"001e06117b44","41.721301","-87.66263000000002","2019/10/05 16:03:09","62.74"
"001e0610ba46","41.878377","-87.627678","2019/10/05 16:03:11","62.74"
"001e06113107","41.751142","-87.71299","2019/10/05 16:03:11","56.72"
"001e061146ba","41.96759","-87.76257","2019/10/05 16:03:11","56.72"
